JW05
   0.3883911E-02 -0.1054437E-01
   0.4998753E-02 -0.1156359E-01
   0.6274114E-02 -0.1249237E-01
   0.7709082E-02 -0.1335046E-01
   0.9303249E-02 -0.1415674E-01
   0.1103007E-01 -0.1491235E-01
   0.1288228E-01 -0.1562525E-01
   0.1486872E-01 -0.1630558E-01
   0.1701456E-01 -0.1696429E-01
   0.1931929E-01 -0.1760170E-01
   0.2177262E-01 -0.1821568E-01
   0.2438151E-01 -0.1880838E-01
   0.2715528E-01 -0.1938156E-01
   0.3010221E-01 -0.1993611E-01
   0.3323176E-01 -0.2047265E-01
   0.3655323E-01 -0.2099139E-01
   0.4008236E-01 -0.2149309E-01
   0.4383185E-01 -0.2197763E-01
   0.4782637E-01 -0.2244599E-01
   0.5209992E-01 -0.2289945E-01
   0.5669356E-01 -0.2333902E-01
   0.6165124E-01 -0.2376500E-01
   0.6702012E-01 -0.2417694E-01
   0.7284993E-01 -0.2457366E-01
   0.7919263E-01 -0.2495330E-01
   0.8609781E-01 -0.2531328E-01
   0.9360575E-01 -0.2565027E-01
   0.1017434     -0.2596068E-01
   0.1105081     -0.2624075E-01
   0.1198707     -0.2648779E-01
   0.1297442     -0.2670315E-01
   0.1400332     -0.2688760E-01
   0.1506449     -0.2703977E-01
   0.1615042     -0.2716026E-01
   0.1725439     -0.2725107E-01
   0.1837117     -0.2731523E-01
   0.1949669     -0.2735650E-01
   0.2062846     -0.2737907E-01
   0.2176489     -0.2738736E-01
   0.2290213     -0.2738530E-01
   0.2403607     -0.2737408E-01
   0.2516647     -0.2735408E-01
   0.2629381     -0.2732565E-01
   0.2741758     -0.2728917E-01
   0.2853838     -0.2724498E-01
   0.2965611     -0.2719344E-01
   0.3077129     -0.2713486E-01
   0.3188435     -0.2706958E-01
   0.3299259     -0.2699809E-01
   0.3409502     -0.2692084E-01
   0.3519315     -0.2683810E-01
   0.3628747     -0.2675009E-01
   0.3737772     -0.2665707E-01
   0.3846330     -0.2655933E-01
   0.3954316     -0.2645721E-01
   0.4061565     -0.2635112E-01
   0.4167855     -0.2624156E-01
   0.4273009     -0.2612899E-01
   0.4376747     -0.2601404E-01
   0.4478785     -0.2589732E-01
   0.4578837     -0.2577952E-01
   0.4676628     -0.2566129E-01
   0.4771370     -0.2554397E-01
   0.4862322     -0.2542886E-01
   0.4949252     -0.2531668E-01
   0.5031914     -0.2520814E-01
   0.5110125     -0.2510382E-01
   0.5183798     -0.2500419E-01
   0.5252932     -0.2490953E-01
   0.5317683     -0.2481989E-01
   0.5378262     -0.2473521E-01
   0.5434976     -0.2465515E-01
   0.5488193     -0.2457898E-01
   0.5538280     -0.2450598E-01
   0.5601888     -0.2441088E-01
   0.5683317     -0.2428413E-01
   0.5762240     -0.2415457E-01
   0.5838544     -0.2402168E-01
   0.5912027     -0.2388537E-01
   0.5982163     -0.2374651E-01
   0.6048831     -0.2361957E-01
   0.6112273     -0.2349912E-01
   0.6172817     -0.2338216E-01
   0.6230752     -0.2326754E-01
   0.6286129     -0.2315514E-01
   0.6338880     -0.2304521E-01
   0.6389036     -0.2293799E-01
   0.6436572     -0.2283387E-01
   0.6481181     -0.2273396E-01
